City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hong Kong,22.29,114.16,90.0,74,95,11.99,HK,07/18/20
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,07/18/20
Lensk,60.73,114.93,59.31,71,98,9.66,RU,07/18/20
Saint George,37.1,-113.58,102.99,12,1,17.22,US,07/18/20
Yaan,7.38,8.57,70.34,96,100,4.41,NG,07/18/20
Hobart,-42.88,147.33,44.6,70,75,9.17,AU,07/18/20
Mar del Plata,-38.0,-57.56,51.01,93,75,10.29,AR,07/18/20
Reguengos de Monsaraz,38.43,-7.53,81.0,53,0,4.7,PT,07/18/20
New Norfolk,-42.78,147.06,42.01,85,100,3.6,AU,07/18/20
Ushuaia,-54.8,-68.3,23.65,92,100,0.69,AR,07/18/20
Kirakira,-10.45,161.92,82.89,76,100,10.25,SB,07/18/20
Koratla,18.82,78.72,75.69,89,63,8.34,IN,07/18/20
Kavieng,-2.57,150.8,83.01,76,100,10.74,PG,07/18/20
Castro,-24.79,-50.01,57.72,90,0,2.01,BR,07/18/20
Kiruna,67.86,20.23,57.2,93,65,1.12,SE,07/18/20
Atuona,-9.8,-139.03,79.34,75,7,16.35,PF,07/18/20
Tigre,-34.43,-58.58,54.0,93,100,8.05,AR,07/18/20
Vardø,70.37,31.11,55.4,82,100,18.34,NO,07/18/20
Kapaa,22.08,-159.32,86.0,74,20,9.17,US,07/18/20
Airai,-8.93,125.41,66.22,85,51,4.27,TL,07/18/20
Hambantota,6.12,81.12,78.8,94,20,4.7,LK,07/18/20
Lagos,6.58,3.75,75.2,94,20,2.24,NG,07/18/20
Shache,38.42,77.24,70.81,60,100,13.38,CN,07/18/20
Krasnosel'kup,65.7,82.47,55.58,65,1,7.16,RU,07/18/20
Arraial do Cabo,-22.97,-42.03,68.0,82,75,8.05,BR,07/18/20
Pandan,14.05,124.17,85.46,68,80,7.47,PH,07/18/20
Umluj,25.02,37.27,80.98,66,76,3.44,SA,07/18/20
Fort Saint James,54.43,-124.25,70.84,38,42,7.87,CA,07/18/20
Cherskiy,68.75,161.3,60.1,58,100,9.75,RU,07/18/20
Centralia,46.72,-122.95,68.0,56,90,3.36,US,07/18/20
Butaritari,3.07,172.79,83.53,75,16,15.28,KI,07/18/20
Faanui,-16.48,-151.75,77.22,82,100,16.37,PF,07/18/20
Bethel,41.37,-73.41,75.0,94,40,3.36,US,07/18/20
Jiuquan,39.74,98.52,69.94,41,0,4.9,CN,07/18/20
Nouakchott,18.09,-15.98,77.0,83,0,14.99,MR,07/18/20
Albany,42.6,-73.97,78.01,61,0,1.01,US,07/18/20
Meulaboh,4.14,96.13,76.5,88,88,3.83,ID,07/18/20
Te Anau,-45.42,167.72,41.59,65,0,1.07,NZ,07/18/20
Broken Hill,-31.95,141.43,53.6,46,23,9.17,AU,07/18/20
Terracina,41.29,13.22,70.0,82,0,4.0,IT,07/18/20
Necochea,-38.55,-58.74,53.01,88,100,11.01,AR,07/18/20
Punta Arenas,-53.15,-70.92,33.01,94,100,9.17,CL,07/18/20
Nicoya,10.15,-85.45,87.8,52,6,12.75,CR,07/18/20
Chokurdakh,70.63,147.92,56.25,46,0,8.48,RU,07/18/20
Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,07/18/20
Portland,45.52,-122.68,73.99,43,75,13.87,US,07/18/20
Torbay,47.67,-52.73,50.0,100,90,13.87,CA,07/18/20
Valley Station,38.11,-85.87,84.99,70,75,6.93,US,07/18/20
Busselton,-33.65,115.33,51.01,88,10,10.78,AU,07/18/20
Rikitea,-23.12,-134.97,73.44,83,100,13.44,PF,07/18/20
Pihānī,27.63,80.2,86.7,68,8,6.73,IN,07/18/20
Gołdap,54.31,22.3,56.25,90,0,4.23,PL,07/18/20
Talnakh,69.49,88.4,48.2,87,75,15.66,RU,07/18/20
Barrow,71.29,-156.79,39.2,84,90,14.99,US,07/18/20
Kyren,51.68,102.14,60.53,69,76,2.53,RU,07/18/20
Karratha,-20.74,116.85,72.5,60,100,6.51,AU,07/18/20
Yellowknife,62.46,-114.35,69.8,43,75,10.29,CA,07/18/20
Camacha,33.08,-16.33,68.0,88,40,8.05,PT,07/18/20
Sisimiut,66.94,-53.67,52.41,65,22,1.1,GL,07/18/20
Byron Bay,-28.65,153.62,64.0,63,90,11.41,AU,07/18/20
Paamiut,61.99,-49.67,47.43,71,100,4.5,GL,07/18/20
Ushtobe,45.25,77.98,85.57,24,100,7.2,KZ,07/18/20
